12:12:00 system           | rule-engine started (pid=24242)
12:12:14 rule-engine      | [2022-11-10 12:12:14.804] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"h6vBkFTb","timestamp":"2022-11-10T12:12:14.803416Z","signalType":"DATA_CHANGE","from":"rule_engine","changeType":"CREATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":[],"lastInteractionTime":null,"pinged":false,"personality":"friendlyAI","max_MEMORY":6}}
12:12:14 rule-engine      | [2022-11-10 12:12:14.811] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agents-input>: {"id":"saM72OzJ","timestamp":"2022-11-10T12:12:14.811062Z","signalType":"MESSAGE","from":"rule_engine","messageType":"Initialize","to":"yYlKULq0","returnAddress":"public/default/workspace-ms-ivo-app-rule-engine-input"}
12:12:14 heartbeat        | [2022-11-10 12:12:14.812] [DEBUG]: Received message: b'{"id":"h6vBkFTb","timestamp":"2022-11-10T12:12:14.803416Z","signalType":"DATA_CHANGE","from":"rule_engine","changeType":"CREATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":[],"lastInteractionTime":null,"pinged":false,"personality":"friendlyAI","max_MEMORY":6}}'
12:12:14 heartbeat        | [2022-11-10 12:12:14.821] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-heartbeat-model-data_change>: b'{"id": "EALtVuTY", "timestamp": "2022-11-10T12:12:14.820679Z", "signalType": "DATA_CHANGE", "from": "heartbeat", "changeType": "CREATED", "objectType": "HeartbeatModel", "object": {"agentId": "yYlKULq0", "nextHeartbeatAt": "2022-11-10T12:12:44.816180Z"}}'
12:12:14 heartbeat        | [2022-11-10 12:12:14.822] [DEBUG]: Created HeartbeatModel yYlKULq0
12:12:14 rule-engine      | [2022-11-10 12:12:14.826] [DEBUG]: Received message: '{"id":"saM72OzJ","timestamp":"2022-11-10T12:12:14.811062Z","signalType":"MESSAGE","from":"rule_engine","messageType":"Initialize","to":"yYlKULq0","returnAddress":"public/default/workspace-ms-ivo-app-rule-engine-input"}
12:12:14 rule-engine      | [2022-11-10 12:12:14.841] [DEBUG]: Created producer for topic=public/default/workspace-ms-ivo-app-rule-engine-input with configuration={blockIfQueueFull=true, compressionType=LZ4, batchingEnabled=true, sendTimeoutMs=0}
12:12:14 rule-engine      | [2022-11-10 12:12:14.842] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-rule-engine-input>: {"id":"67Arxgrr","timestamp":"2022-11-10T12:12:14.814687Z","signalType":"MESSAGE","from":"rule_engine","messageType":"EvaluateWithSignals","to":"rule_engine","returnAddress":"public/default/workspace-ms-ivo-app-rule-engine-input","agentId":"yYlKULq0","signals":{"signals":[{"id":"oqMUhuRx","timestamp":"2022-11-10T12:12:14.636953Z","signalType":"EVENT","from":"telegram_adapter","eventType":"TelegramReceivedMessage","messageId":"184","firstName":"Farafrfljo","lastName":null,"chatId":"5733149430","receivedAt":"2022-11-10T12:12:14.000000Z","text":"Hey","location":null,"mediaList":null,"mediaGroupId":null,"replyToMessageId":null,"rawData":{"message":{"delete_chat_photo":false,"date":1668082334,"chat":{"id":5733149430,"type":"private","first_name":"Farafrfljo"},"caption_entities":[],"supergroup_chat_created":false,"photo":[],"new_chat_members":[],"channel_chat_created":false,"text":"Hey","new_chat_photo":[],"group_chat_created":false,"message_id":184,"entities":[],"from":{"language_code":"hr","first_name":"Farafrfljo","id":5733149430,"is_bot":false}},"update_id":862158526}}]}}
12:12:14 rule-engine      | [2022-11-10 12:12:14.847] [DEBUG]: Evaluating agent yYlKULq0
12:12:14 rule-engine      | [2022-11-10 12:12:14.855] [DEBUG]: Received message: '{"id":"67Arxgrr","timestamp":"2022-11-10T12:12:14.814687Z","signalType":"MESSAGE","from":"rule_engine","messageType":"EvaluateWithSignals","to":"rule_engine","returnAddress":"public/default/workspace-ms-ivo-app-rule-engine-input","agentId":"yYlKULq0","signals":{"signals":[{"id":"oqMUhuRx","timestamp":"2022-11-10T12:12:14.636953Z","signalType":"EVENT","from":"telegram_adapter","eventType":"TelegramReceivedMessage","messageId":"184","firstName":"Farafrfljo","lastName":null,"chatId":"5733149430","receivedAt":"2022-11-10T12:12:14.000000Z","text":"Hey","location":null,"mediaList":null,"mediaGroupId":null,"replyToMessageId":null,"rawData":{"message":{"delete_chat_photo":false,"date":1668082334,"chat":{"id":5733149430,"type":"private","first_name":"Farafrfljo"},"caption_entities":[],"supergroup_chat_created":false,"photo":[],"new_chat_members":[],"channel_chat_created":false,"text":"Hey","new_chat_photo":[],"group_chat_created":false,"message_id":184,"entities":[],"from":{"language_code":"hr","first_name":"Farafrfljo","id":5733149430,"is_bot":false}},"update_id":862158526}}]}}
12:12:14 rule-engine      | [2022-11-10 12:12:14.859] [DEBUG]: Adding facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:12:14 rule-engine      | [2022-11-10 12:12:14.860] [DEBUG]: Adding signals: [(Initialize(),signals)]
12:12:14 rule-engine      | [2022-11-10 12:12:14.895] [DEBUG]: Created producer for topic=public/default/workspace-ms-ivo-app-telegram-adapter-input with configuration={blockIfQueueFull=true, compressionType=LZ4, batchingEnabled=true, sendTimeoutMs=0}
12:12:14 rule-engine      | [2022-11-10 12:12:14.896] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-telegram-adapter-input>: {"id":"KvFTI0Nu","timestamp":"2022-11-10T12:12:14.874155Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"SendMessage","to":"telegram_adapter","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","chatId":"5733149430","text":"Okay, turning my engines on. Let's start!","keyboardData":null,"mediaList":null}
12:12:14 rule-engine      | [2022-11-10 12:12:14.901] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agents-input>: {"id":"9nzvXu3a","timestamp":"2022-11-10T12:12:14.898992Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"AgentCreated","to":"SMITH","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","agent":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":[],"lastInteractionTime":null,"pinged":false,"personality":"friendlyAI","max_MEMORY":6}}
12:12:14 rule-engine      | [2022-11-10 12:12:14.902] [DEBUG]: Rule fired: First contact
12:12:14 telegram-adapter | [2022-11-10 12:12:14.903] [DEBUG]: Received message: b'{"id":"KvFTI0Nu","timestamp":"2022-11-10T12:12:14.874155Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"SendMessage","to":"telegram_adapter","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","chatId":"5733149430","text":"Okay, turning my engines on. Let\'s start!","keyboardData":null,"mediaList":null}'
12:12:14 rule-engine      | [2022-11-10 12:12:14.908] [DEBUG]: Received message: '{"id":"9nzvXu3a","timestamp":"2022-11-10T12:12:14.898992Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"AgentCreated","to":"SMITH","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","agent":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":[],"lastInteractionTime":null,"pinged":false,"personality":"friendlyAI","max_MEMORY":6}}
12:12:14 rule-engine      | [2022-11-10 12:12:14.910] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"KidR6pqH","timestamp":"2022-11-10T12:12:14.907783Z","signalType":"EVENT","from":"yYlKULq0","eventType":"Evaluation","agentId":"yYlKULq0","evaluatedAt":"2022-11-10T12:12:14.910045Z"}
12:12:14 rule-engine      | [2022-11-10 12:12:14.911] [DEBUG]: Updating facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:12:14 telegram-adapter | [2022-11-10 12:12:14.914] [INFO]: Send message with text "Okay, turning my engines on. Let's start!" to 5733149430
12:12:14 rule-engine      | [2022-11-10 12:12:14.921] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"bEa63wES","timestamp":"2022-11-10T12:12:14.920304Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":[],"lastInteractionTime":null,"pinged":false,"personality":"friendlyAI","max_MEMORY":6}}
12:12:14 heartbeat        | [2022-11-10 12:12:14.929] [DEBUG]: Received message: b'{"id":"bEa63wES","timestamp":"2022-11-10T12:12:14.920304Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":[],"lastInteractionTime":null,"pinged":false,"personality":"friendlyAI","max_MEMORY":6}}'
12:12:14 rule-engine      | [2022-11-10 12:12:14.935] [DEBUG]: Evaluating agent yYlKULq0
12:12:14 rule-engine      | [2022-11-10 12:12:14.944] [DEBUG]: Adding facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:12:14 telegram-adapter | [2022-11-10 12:12:14.961] [DEBUG]: Successfully sent Telegram Message.
12:12:14 rule-engine      | [2022-11-10 12:12:14.961] [DEBUG]: Adding signals: [(TelegramReceivedMessage(messageId=184, firstName=Farafrfljo, lastName=null, chatId=5733149430, receivedAt=2022-11-10T12:12:14, text=Hey, location=null, mediaList=null, mediaGroupId=null, replyToMessageId=null, rawData={"message":{"delete_chat_photo":false,"date":1668082334,"chat":{"id":5733149430,"type":"private","first_name":"Farafrfljo"},"caption_entities":[],"supergroup_chat_created":false,"photo":[],"new_chat_members":[],"channel_chat_created":false,"text":"Hey","new_chat_photo":[],"group_chat_created":false,"message_id":184,"entities":[],"from":{"language_code":"hr","first_name":"Farafrfljo","id":5733149430,"is_bot":false}},"update_id":862158526}),signals)]
12:12:14 rule-engine      | [2022-11-10 12:12:14.969] [INFO]: Prompt for GPT-3:
12:12:14 rule-engine      | You're an AI system called Nola Brzina. You're talking to a human. You want to have an engaging and fun conversation with them. You are friendly, creative and innovative.
12:12:14 rule-engine      | Human: Hey
12:12:14 rule-engine      | AI:
12:12:14 telegram-adapter | [2022-11-10 12:12:14.996] [DEBUG]: Saved SentMessage 185
12:12:15 rule-engine      | [2022-11-10 12:12:15.008] [DEBUG]: Created producer for topic=public/default/workspace-ms-ivo-app-gpt3-adapter-input with configuration={blockIfQueueFull=true, compressionType=LZ4, batchingEnabled=true, sendTimeoutMs=0}
12:12:15 rule-engine      | [2022-11-10 12:12:15.009] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-gpt3-adapter-input>: {"id":"QYeJ0Qi5","timestamp":"2022-11-10T12:12:14.972568Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"Complete","to":"gpt3_adapter","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","prompt":"You're an AI system called Nola Brzina. You're talking to a human. You want to have an engaging and fun conversation with them. You are friendly, creative and innovative.\nHuman: Hey\nAI:","model":"text-davinci-001","maxTokens":64,"temperature":0.9,"topP":1.0,"n":1,"logprobs":null,"echo":false,"stop":["AI:","Human:"],"presencePenalty":0.6,"frequencyPenalty":0.0,"bestOf":1,"logitBias":null,"suffix":null}
12:12:15 rule-engine      | [2022-11-10 12:12:15.009] [DEBUG]: Rule fired: Handle message
12:12:15 rule-engine      | [2022-11-10 12:12:15.016] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"z5JnDbiu","timestamp":"2022-11-10T12:12:15.014578Z","signalType":"EVENT","from":"yYlKULq0","eventType":"Evaluation","agentId":"yYlKULq0","evaluatedAt":"2022-11-10T12:12:15.016504Z"}
12:12:15 rule-engine      | [2022-11-10 12:12:15.017] [DEBUG]: Updating facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:12:15 gpt3-adapter     | [2022-11-10 12:12:15.017] [DEBUG]: Received message: b'{"id":"QYeJ0Qi5","timestamp":"2022-11-10T12:12:14.972568Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"Complete","to":"gpt3_adapter","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","prompt":"You\'re an AI system called Nola Brzina. You\'re talking to a human. You want to have an engaging and fun conversation with them. You are friendly, creative and innovative.\\nHuman: Hey\\nAI:","model":"text-davinci-001","maxTokens":64,"temperature":0.9,"topP":1.0,"n":1,"logprobs":null,"echo":false,"stop":["AI:","Human:"],"presencePenalty":0.6,"frequencyPenalty":0.0,"bestOf":1,"logitBias":null,"suffix":null}'
